Judge,Plaster model,Assessments ,MD-MaxR,MD-MaxL,MD-ManR,MD-ManL
A,1,1,7.2,7.25,6.3,6.25
A,1,2,7.81,7.3,6.36,6.31
A,2,1,7.44,8.06,5.91,5.97
A,2,2,7.3,7.54,6.32,6.09
A,3,1,7.68,7.36,6.86,7.35
A,3,2,7.61,7.46,6.87,7.4
A,4,1,7.93,8.04,6.57,6.87
A,4,2,8.02,8.04,6.63,5.83
A,5,1,8.33,7.98,6.81,6.43
A,5,2,8.08,8.03,6.98,6.71
A,6,1,8.44,8.55,7.49,7.68
A,6,2,8.33,8.38,7.5,7.76
A,7,1,7.73,7.43,6.49,6.25
A,7,2,7.41,7.31,6.24,6.23
A,8,1,8.47,8.49,8.11,7.98
A,8,2,8.52,8.32,7.93,7.91
A,9,1,8.48,7.91,6.35,7.32
A,9,2,8.45,8.35,7.29,6.92
A,10,1,8.15,7.75,6.36,6.32
A,10,2,8.36,7.85,6.11,6.43
A,11,1,8.98,9.07,8.03,8.07
A,11,2,9.27,9.1,7.97,8.11
A,12,1,7.98,7.63,6.29,6.5
A,12,2,7.96,7.63,6.5,6.55
A,13,1,7.82,7.95,6.53,6.66
A,13,2,7.82,7.89,6.85,6.5
A,14,1,8.27,8.12,6.97,7.03
A,14,2,8.59,8.68,7.11,6.92
A,15,1,7.99,8.3,7.94,7.16
A,15,2,8.14,8.35,7.19,6.97
A,16,1,9.01,9.04,7.78,7.8
A,16,2,8.89,9.01,7.79,7.81
A,17,1,7.87,8.25,6.87,6.21
A,17,2,7.89,8.41,7.13,6.35
A,18,1,7.06,7.18,6.12,6.4
A,18,2,6.98,7.46,6.58,6.46
A,19,1,9.25,8.82,7.4,7.29
A,19,2,8.86,8.77,7.43,7.2
A,20,1,7.78,7.83,6.88,6.68
A,20,2,7.67,7.78,7.05,6.81
A,21,1,8.43,8.77,7.3,7.28
A,21,2,8.28,8.48,6.89,7.4
A,22,1,6.59,7.86,6.37,6.45
A,22,2,7.52,7.8,6.36,6.7
A,23,1,8.76,8.45,8.96,8.45
A,23,2,8.32,8.47,7.13,7.17
A,24,1,8.06,7.77,7.14,7.07
A,24,2,7.84,7.93,7.05,6.81
A,25,1,7.51,8.06,7.23,6.82
A,25,2,7.61,8.07,7.07,6.9
A,26,1,8.06,8.33,7.25,6.38
